Feature,AUROC_CV,Odds_Ratio,CI_Lower,CI_Upper,P_Value
fhr_baseline_std_bpm,0.5983089969161617,1.3368775372201596,1.1162537256983127,1.6011069064121297,0.0016044205141957175
ltv_mean_amp_bpm,0.5750029502656504,1.2505551672493271,1.0213988367127889,1.531123954837388,0.030389105704418586
fhr_invalid_pct,0.564278136840697,1.2372342663332163,1.0051685374950847,1.5228775799168677,0.0445789439456441
ltv_median_amp_bpm,0.5628355916831329,1.2065801858226746,0.9973065889224628,1.4597674987717004,0.053333160329196994
Sex,0.561498539079355,0.7864052923814169,0.5578605306382065,1.1085804603849612,0.1701980923922196
accelerations_count,0.5486309711849197,1.213753550797532,1.0101473269711128,1.4583988322683017,0.03866541369078816
accelerations_mean_amp_bpm,0.545890304691245,1.1673026070587327,0.9609198327989436,1.4180115030794818,0.11914372319285284
accelerations_mean_duration_s,0.5440899045692695,1.179958048655337,0.9683000462989004,1.4378817825200505,0.10088163276618943
Age,0.5437516413001815,1.2706068558386252,0.8813757279827628,1.8317293418087988,0.19937409271821993
slope_sampen_30min,0.5381222857954098,0.8687311605529344,0.7699482947989619,0.9801876754759271,0.022319600094263602
Gest_weeks,0.5358476638521921,0.9391481566725223,0.7218297872705342,1.221893687037374,0.6401094386899042
dfa_alpha_long,0.5316692580900026,1.1590959226227024,0.9183017788703348,1.4630303335503805,0.2140057100802184
Parity,0.5312575401520172,0.8609825104052713,0.591652733375773,1.2529155050027485,0.43421636349475723
delta_baseline_std_bpm,0.5277670194756471,1.1225667587532016,1.0226577737518894,1.2322363944239663,0.015054470257228239
delta_sampen,0.5277491227675297,0.8945290035828404,0.8192060583013426,0.9767776130832331,0.013009523252848909
dfa_intercept,0.5267767068628315,1.096962071497493,0.8358901461212629,1.439574077871118,0.504556647392255
dfa_alpha_short,0.5198694901645651,0.8847783353300243,0.6825845567378356,1.146865534741414,0.35507978530248074
Diabetes,0.5177847188878362,0.8399801442419621,0.58463838428678,1.2068428308577308,0.345618977523526
fhr_baseline_slope_bpm_min,0.5172292729251,0.8937740900500257,0.7930100327335021,1.007341762488402,0.06575261679638426
decelerations_late_count,0.5110252043869122,1.087588974558314,0.8683000881438958,1.3622591932580592,0.4648942205082993
decelerations_count,0.509387596526144,1.1352436890591315,0.8736369925654346,1.475187342701789,0.34254807364511175
decelerations_variable_count,0.5088964949828818,1.1494105360161604,0.9254936596850447,1.4275025727940227,0.2078189556124418
slope_baseline_mean_30min,0.5084278922547014,0.9616622287713525,0.8486357629573913,1.0897422458637507,0.5400161332523483
Pyrexia,0.507244093913864,0.039274314163796814,,,
fhr_std_falling_streak,0.4945392323099487,0.9800465206337146,0.8481704964221263,1.1324270139764714,0.7845871328125656
fhr_baseline_mean_bpm,0.4880749150556589,0.9597479583330948,0.6725319020101109,1.3696244605965109,0.8208648467234211
ltv_valid_windows,0.48579137807882755,0.9763478453222756,0.7494011662736249,1.2720224600202894,0.859241095615977
fhr_sampen_falling_streak,0.4779693921475593,0.9826495219105306,0.8668049573508132,1.113976188901971,0.784485160589327
decelerations_mean_amp_bpm,0.47653525077678804,0.9827356481954201,0.7646222334595196,1.2630673186999366,0.8918128338630933
uc_invalid_pct,0.47080762930846437,0.9216882961928224,0.7387671505412154,1.149901311551933,0.4699956134018194
fhr_sampen,0.47006535515678183,1.0085120721107408,0.7852905283247184,1.295185110360238,0.9470563185208889
decelerations_early_count,0.46623086099896793,1.012113720581332,0.7423397168526225,1.3799264139229086,0.9393148476413566
decelerations_mean_duration_s,0.4655080630679823,0.9892893228490954,0.7678799333729582,1.2745395754831788,0.9336085096584348
dfa_alpha,0.4640743730605473,1.0517880400978104,0.8300863130451323,1.3327024719086593,0.6759040354243
fhr_baseline_median_bpm,0.46251899171696403,1.0041865638744218,0.7058520029617984,1.4286148524544084,0.9814686830430923
fhr_apen,0.4587603553902114,0.9805166721462799,0.7563556093104578,1.2711123346243192,0.8818944430577256
uc_contractions_count,0.45703389533417493,0.9788979321663451,0.7677666475050893,1.2480890707006058,0.8633858505535836
deceleration_uc_lag_median_s,0.44474019552581473,1.0169588427969087,0.9189020917140025,1.125479305432588,0.7451250166931336
deceleration_uc_lag_mean_s,0.4317074638111076,1.0152134545493277,0.9211381939028598,1.1188965620143092,0.7608844390445076
Gravidity,0.4307012358569411,0.9674612601152682,0.7438982136422739,1.2582115034811978,0.8051116651183224
